94908KDBQ DBQ20050501000009505/01/05 00:00:49  5-MIN KDBQ 010600Z 22003KT 10SM CLR 01/M02 A2999 1010 85 -400 220/03 RMK AO2
94908KDBQ DBQ20050501000509505/01/05 00:05:31  5-MIN KDBQ 010605Z 22003KT 10SM CLR 01/M02 A2999 1010 85 -400 220/03 RMK AO2
94908KDBQ DBQ20050501001009505/01/05 00:10:31  5-MIN KDBQ 010610Z 22003KT 10SM CLR 00/M02 A2999 1020 88 -500 210/03 RMK AO2
94908KDBQ DBQ20050501001509505/01/05 00:15:32  5-MIN KDBQ 010615Z 22003KT 10SM CLR 00/M02 A2999 1020 85 -500 220/03 RMK AO2
94908KDBQ DBQ20050501002009405/01/05 00:20:31  5-MIN KDBQ 010620Z 22003KT 9SM CLR 00/M02 A2998 1020 85 -500 220/03 RMK AO2
94908KDBQ DBQ20050501002509405/01/05 00:25:31  5-MIN KDBQ 010625Z 21003KT 9SM CLR 00/M02 A2998 1020 85 -500 210/03 RMK AO2
94908KDBQ DBQ20050501003009505/01/05 00:30:31  5-MIN KDBQ 010630Z 22004KT 9SM CLR M01/M03 A2998 1020 85 -500 210/04 RMK AO2
94908KDBQ DBQ20050501003509505/01/05 00:35:31  5-MIN KDBQ 010635Z 21004KT 9SM CLR M01/M03 A2998 1020 85 -500 210/04 RMK AO2
94908KDBQ DBQ20050501004009805/01/05 00:40:31  5-MIN KDBQ 010640Z 22004KT 9SM FEW110 M01/M03 A2998 1020 85 -500 220/04 RMK AO2
94908KDBQ DBQ20050501004509805/01/05 00:45:31  5-MIN KDBQ 010645Z 23005KT 8SM SCT100 M01/M02 A2998 1030 88 -500 220/05 RMK AO2
94908KDBQ DBQ20050501005011405/01/05 00:50:31  5-MIN KDBQ 010650Z 23005KT 8SM SCT090 00/M02 A2998 1030 85 -500 220/05 RMK AO2 SLP159 T00001022
94908KDBQ DBQ20050526220510405/26/05 22:05:31  5-MIN KDBQ 270405Z AUTO 00000KT 10SM CLR 09/08 A2991  1090 89 700 000/00 RMK AO2 TSNO
94908KDBQ DBQ20050526221010405/26/05 22:10:31  5-MIN KDBQ 270410Z AUTO 00000KT 10SM CLR 10/08 A2990  1090 89 800 000/00 RMK AO2 TSNO
94908KDBQ DBQ20050526221510405/26/05 22:15:31  5-MIN KDBQ 270415Z AUTO 00000KT 10SM CLR 11/08 A2990  1090 83 900 000/00 RMK AO2 TSNO
94908KDBQ DBQ20050526222010505/26/05 22:20:31  5-MIN KDBQ 270420Z AUTO 00000KT 10SM CLR 12/08 A2990  1100 80 1000 000/00 RMK AO2 TSNO
94908KDBQ DBQ20050526222510405/26/05 22:25:31  5-MIN KDBQ 270425Z AUTO 20003KT 10SM CLR 11/08 A2990  1100 83 900 190/03 RMK AO2 TSNO
94908KDBQ DBQ20050526223010405/26/05 22:30:31  5-MIN KDBQ 270430Z AUTO 21004KT 10SM CLR 11/08 A2990  1100 83 900 210/04 RMK AO2 TSNO
94908KDBQ DBQ20050526223510405/26/05 22:35:31  5-MIN KDBQ 270435Z AUTO 20004KT 10SM CLR 11/08 A2990  1100 83 900 200/04 RMK AO2 TSNO
94908KDBQ DBQ20050526224010405/26/05 22:40:31  5-MIN KDBQ 270440Z AUTO 21003KT 10SM CLR 11/08 A2990  1100 86 900 210/03 RMK AO2 TSNO
94908KDBQ DBQ20050526224510605/26/05 22:45:31  5-MIN KDBQ 270445Z AUTO 22005KT 10SM FEW100 11/08 A2990 1100 86 900 220/05 RMK AO2 TSNO
94908KDBQ DBQ20050526225012305/26/05 22:50:31  5-MIN KDBQ 270450Z AUTO 00000KT 10SM FEW100 11/08 A2990 1100 83 900 000/00 RMK AO2 SLP125 T01110083 TSNO
94908KDBQ DBQ20050526225512305/26/05 22:55:31  5-MIN KDBQ 270455Z AUTO 00000KT 10SM FEW100 11/08 A2990 1100 86 900 000/00 RMK AO2 SLP124 T01060083 TSNO
94908KDBQ DBQ20050526230010605/26/05 23:00:31  5-MIN KDBQ 270500Z AUTO 23005KT 10SM SCT100 11/08 A2990 1100 86 900 230/05 RMK AO2 TSNO
94908KDBQ DBQ20050526230510605/26/05 23:05:31  5-MIN KDBQ 270505Z AUTO 23005KT 10SM BKN110 11/08 A2989 1100 86 900 230/05 RMK AO2 TSNO
94908KDBQ DBQ20050526231010705/26/05 23:10:31  5-MIN KDBQ 270510Z AUTO 23007KT 10SM BKN110 12/08 A2989 1100 80 1000 230/07 RMK AO2 TSNO
94908KDBQ DBQ20050526231510705/26/05 23:15:31  5-MIN KDBQ 270515Z AUTO 24006KT 10SM BKN100 12/08 A2989 1110 80 1000 230/06 RMK AO2 TSNO
94908KDBQ DBQ20050526232010705/26/05 23:20:31  5-MIN KDBQ 270520Z AUTO 25008KT 10SM BKN110 12/08 A2989 1110 80 1000 250/08 RMK AO2 TSNO
94908KDBQ DBQ20050526232510705/26/05 23:25:31  5-MIN KDBQ 270525Z AUTO 25009KT 10SM BKN110 12/08 A2989 1110 77 1100 240/09 RMK AO2 TSNO
94908KDBQ DBQ20050526233010705/26/05 23:30:31  5-MIN KDBQ 270530Z AUTO 24008KT 10SM BKN110 12/08 A2989 1110 77 1100 240/08 RMK AO2 TSNO
94908KDBQ DBQ20050526233511405/26/05 23:35:31  5-MIN KDBQ 270535Z AUTO 24009KT 10SM SCT085 BKN110 12/08 A2989 1110 77 1100 240/09 RMK AO2 TSNO
94908KDBQ DBQ20050526234011405/26/05 23:40:31  5-MIN KDBQ 270540Z AUTO 24009KT 10SM BKN085 BKN110 12/08 A2989 1110 77 1100 240/09 RMK AO2 TSNO
94908KDBQ DBQ20050526234511405/26/05 23:45:31  5-MIN KDBQ 270545Z AUTO 25008KT 10SM BKN080 BKN110 12/08 A2989 1110 77 1100 250/08 RMK AO2 TSNO
94908KDBQ DBQ20050526235017305/26/05 23:50:31  5-MIN KDBQ 270550Z AUTO 25008KT 10SM BKN080 BKN095  OVC110 12/08 A2989 1110 77 1100 240/08 RMK AO2 SLP118 60000 T01220083 10156 20094 402170094 56013 TSNO
94908KDBQ DBQ20050526235516605/26/05 23:55:31  5-MIN KDBQ 270555Z AUTO 24007KT 10SM BKN080 BKN100 12/08 A2988 1110 77 1100 240/07 RMK AO2 SLP118 60000 T01220083 10156 20094  402170094 57014 TSNO
94908KDBQ DBQ20050527000010705/27/05 00:00:38  5-MIN KDBQ 270600Z AUTO 25007KT 10SM BKN080 12/08 A2988 1110 80 1000 250/07 RMK AO2 TSNO
94908KDBQ DBQ20050527000510705/27/05 00:05:31  5-MIN KDBQ 270605Z AUTO 25007KT 10SM SCT080 12/08 A2988 1120 77 1000 250/07 RMK AO2 TSNO
94908KDBQ DBQ20050527001011405/27/05 00:10:31  5-MIN KDBQ 270610Z AUTO 26009KT 10SM SCT080 SCT095 12/08 A2988 1120 77 1000 260/09 RMK AO2 TSNO
94908KDBQ DBQ20050527001511405/27/05 00:15:33  5-MIN KDBQ 270615Z AUTO 26009KT 10SM SCT080 SCT095 12/08 A2988 1120 74 1100 260/09 RMK AO2 TSNO
94908KDBQ DBQ20050527002010705/27/05 00:20:31  5-MIN KDBQ 270620Z AUTO 26011KT 10SM FEW080 13/07 A2988 1120 69 1200 260/11 RMK AO2 TSNO
94908KDBQ DBQ20050527002510705/27/05 00:25:31  5-MIN KDBQ 270625Z AUTO 26010KT 10SM FEW080 13/07 A2988 1120 69 1200 260/10 RMK AO2 TSNO
94908KDBQ DBQ20050527003010705/27/05 00:30:31  5-MIN KDBQ 270630Z AUTO 27009KT 10SM FEW080 12/07 A2988 1120 71 1100 270/09 RMK AO2 TSNO
94908KDBQ DBQ20050527003510705/27/05 00:35:31  5-MIN KDBQ 270635Z AUTO 28010KT 10SM FEW080 12/07 A2988 1110 71 1100 280/10 RMK AO2 TSNO
94908KDBQ DBQ20050527004010505/27/05 00:40:31  5-MIN KDBQ 270640Z AUTO 28010KT 10SM CLR 12/07 A2988  1110 71 1100 280/10 RMK AO2 TSNO
94908KDBQ DBQ20050527004510505/27/05 00:45:31  5-MIN KDBQ 270645Z AUTO 28013KT 10SM CLR 13/07 A2989  1110 69 1100 280/13 RMK AO2 TSNO
94908KDBQ DBQ20050527005012205/27/05 00:50:31  5-MIN KDBQ 270650Z AUTO 29010KT 10SM CLR 12/07 A2989  1110 71 1100 290/10 RMK AO2 SLP119 T01220072 TSNO
94908KDBQ DBQ20050527005512205/27/05 00:55:31  5-MIN KDBQ 270655Z AUTO 29011KT 10SM CLR 12/07 A2989  1110 71 1100 290/11 RMK AO2 SLP118 T01220072 TSNO
94908KDBQ DBQ20050527010010505/27/05 01:00:31  5-MIN KDBQ 270700Z AUTO 30010KT 10SM CLR 12/07 A2989  1110 71 1100 300/10 RMK AO2 TSNO
94908KDBQ DBQ20050527010510505/27/05 01:05:31  5-MIN KDBQ 270705Z AUTO 31009KT 10SM CLR 12/07 A2989  1110 74 1000 310/09 RMK AO2 TSNO
94908KDBQ DBQ20050527011010505/27/05 01:10:31  5-MIN KDBQ 270710Z AUTO 31008KT 10SM CLR 12/07 A2989  1110 74 1000 310/08 RMK AO2 TSNO
94908KDBQ DBQ20050527011510505/27/05 01:15:31  5-MIN KDBQ 270715Z AUTO 30007KT 10SM CLR 12/07 A2989  1110 74 1000 300/07 RMK AO2 TSNO
94908KDBQ DBQ20050527012010405/27/05 01:20:31  5-MIN KDBQ 270720Z AUTO 30006KT 10SM CLR 11/07 A2989  1110 77 900 300/06 RMK AO2 TSNO
94908KDBQ DBQ20050527012510405/27/05 01:25:31  5-MIN KDBQ 270725Z AUTO 30005KT 10SM CLR 11/07 A2989  1110 77 900 300/05 RMK AO2 TSNO
94908KDBQ DBQ20050527013010405/27/05 01:30:31  5-MIN KDBQ 270730Z AUTO 30005KT 10SM CLR 11/07 A2989  1110 80 900 300/05 RMK AO2 TSNO
94908KDBQ DBQ20050527013510405/27/05 01:35:31  5-MIN KDBQ 270735Z AUTO 30004KT 10SM CLR 11/07 A2989  1100 80 900 300/04 RMK AO2 TSNO
94908KDBQ DBQ20050527014010405/27/05 01:40:31  5-MIN KDBQ 270740Z AUTO 29005KT 10SM CLR 11/07 A2989  1100 80 900 290/05 RMK AO2 TSNO
94908KDBQ DBQ20050527014510405/27/05 01:45:31  5-MIN KDBQ 270745Z AUTO 29004KT 10SM CLR 11/07 A2989  1100 80 900 290/04 RMK AO2 TSNO
94908KDBQ DBQ20050527015012105/27/05 01:50:31  5-MIN KDBQ 270750Z AUTO 30003KT 10SM CLR 10/07 A2989  1100 83 800 300/03 RMK AO2 SLP122 T01000072 TSNO
94908KDBQ DBQ20050527015512105/27/05 01:55:31  5-MIN KDBQ 270755Z AUTO 00000KT 10SM CLR 10/07 A2989  1100 83 800 000/00 RMK AO2 SLP121 T01000072 TSNO
94908KDBQ DBQ20050527020010405/27/05 02:00:31  5-MIN KDBQ 270800Z AUTO 00000KT 10SM CLR 11/07 A2989  1100 80 900 000/00 RMK AO2 TSNO
94908KDBQ DBQ20050527020510405/27/05 02:05:31  5-MIN KDBQ 270805Z AUTO 00000KT 10SM CLR 10/07 A2989  1100 80 800 000/00 RMK AO2 TSNO
94908KDBQ DBQ20050527021010405/27/05 02:10:31  5-MIN KDBQ 270810Z AUTO 00000KT 10SM CLR 10/07 A2989  1100 83 800 000/00 RMK AO2 TSNO
94908KDBQ DBQ20050527021510405/27/05 02:15:31  5-MIN KDBQ 270815Z AUTO 32003KT 10SM CLR 10/07 A2990  1100 80 800 320/03 RMK AO2 TSNO
94908KDBQ DBQ20050527022010405/27/05 02:20:31  5-MIN KDBQ 270820Z AUTO 00000KT 10SM CLR 10/07 A2990  1100 83 800 000/00 RMK AO2 TSNO
94908KDBQ DBQ20050527022510405/27/05 02:25:31  5-MIN KDBQ 270825Z AUTO 00000KT 10SM CLR 10/07 A2990  1100 83 800 000/00 RMK AO2 TSNO
94908KDBQ DBQ20050527023010405/27/05 02:30:31  5-MIN KDBQ 270830Z AUTO 00000KT 10SM CLR 10/07 A2990  1100 83 800 000/00 RMK AO2 TSNO
94908KDBQ DBQ20050527023510405/27/05 02:35:31  5-MIN KDBQ 270835Z AUTO 27003KT 10SM CLR 09/07 A2990  1100 83 700 270/03 RMK AO2 TSNO
94908KDBQ DBQ20050527024010405/27/05 02:40:31  5-MIN KDBQ 270840Z AUTO 26005KT 10SM CLR 09/07 A2990  1100 83 700 260/05 RMK AO2 TSNO
94908KDBQ DBQ20050527024510405/27/05 02:45:31  5-MIN KDBQ 270845Z AUTO 26005KT 10SM CLR 09/07 A2990  1100 86 700 260/05 RMK AO2 TSNO
94908KDBQ DBQ20050527025012705/27/05 02:50:31  5-MIN KDBQ 270850Z AUTO 26005KT 10SM CLR 09/07 A2990  1100 86 700 260/05 RMK AO2 SLP126 T00890067 57014 TSNO
94908KDBQ DBQ20050527025512705/27/05 02:55:31  5-MIN KDBQ 270855Z AUTO 27004KT 10SM CLR 09/07 A2990  1090 86 700 270/04 RMK AO2 SLP125 T00890067 53006 TSNO
94908KDBQ DBQ20050527030010405/27/05 03:00:31  5-MIN KDBQ 270900Z AUTO 27006KT 10SM CLR 09/07 A2990  1090 86 700 270/06 RMK AO2 TSNO
94908KDBQ DBQ20050527030510405/27/05 03:05:31  5-MIN KDBQ 270905Z AUTO 27006KT 10SM CLR 09/07 A2991  1090 86 700 270/06 RMK AO2 TSNO
94908KDBQ DBQ20050527031010405/27/05 03:10:31  5-MIN KDBQ 270910Z AUTO 28008KT 10SM CLR 09/07 A2991  1090 83 700 270/08 RMK AO2 TSNO
94908KDBQ DBQ20050527031510405/27/05 03:15:31  5-MIN KDBQ 270915Z AUTO 28007KT 10SM CLR 09/07 A2991  1090 83 700 280/07 RMK AO2 TSNO
94908KDBQ DBQ20050527032010405/27/05 03:20:31  5-MIN KDBQ 270920Z AUTO 27007KT 10SM CLR 09/07 A2991  1090 83 700 270/07 RMK AO2 TSNO
94908KDBQ DBQ20050527032510405/27/05 03:25:31  5-MIN KDBQ 270925Z AUTO 28007KT 10SM CLR 09/07 A2991  1090 83 700 280/07 RMK AO2 TSNO
94908KDBQ DBQ20050527033010405/27/05 03:30:31  5-MIN KDBQ 270930Z AUTO 26008KT 10SM CLR 09/07 A2991  1090 83 700 260/08 RMK AO2 TSNO
94908KDBQ DBQ20050527033510405/27/05 03:35:31  5-MIN KDBQ 270935Z AUTO 26007KT 10SM CLR 09/07 A2991  1090 86 700 260/07 RMK AO2 TSNO
94908KDBQ DBQ20050527034010405/27/05 03:40:31  5-MIN KDBQ 270940Z AUTO 27006KT 10SM CLR 09/07 A2991  1090 86 700 270/06 RMK AO2 TSNO
94908KDBQ DBQ20050527034510405/27/05 03:45:31  5-MIN KDBQ 270945Z AUTO 27006KT 10SM CLR 09/07 A2991  1090 86 700 270/06 RMK AO2 TSNO
94908KDBQ DBQ20050527035012105/27/05 03:50:31  5-MIN KDBQ 270950Z AUTO 27006KT 10SM CLR 09/06 A2992  1080 83 600 270/06 RMK AO2 SLP130 T00890061 TSNO
94908KDBQ DBQ20050527035512105/27/05 03:55:31  5-MIN KDBQ 270955Z AUTO 26007KT 10SM CLR 09/06 A2992  1080 83 600 260/07 RMK AO2 SLP131 T00890061 TSNO
94908KDBQ DBQ20050527040010405/27/05 04:00:31  5-MIN KDBQ 271000Z AUTO 26007KT 10SM CLR 08/06 A2992  1070 86 600 260/07 RMK AO2 TSNO
94908KDBQ DBQ20050527040510405/27/05 04:05:31  5-MIN KDBQ 271005Z AUTO 27006KT 10SM CLR 08/06 A2993  1070 86 600 260/06 RMK AO2 TSNO
94908KDBQ DBQ20050527041010405/27/05 04:10:31  5-MIN KDBQ 271010Z AUTO 27005KT 10SM CLR 08/06 A2994  1060 86 600 270/05 RMK AO2 TSNO
94908KDBQ DBQ20050527041510405/27/05 04:15:31  5-MIN KDBQ 271015Z AUTO 29003KT 10SM CLR 08/06 A2993  1060 86 600 290/03 RMK AO2 TSNO
94908KDBQ DBQ20050527042010405/27/05 04:20:31  5-MIN KDBQ 271020Z AUTO 28003KT 10SM CLR 08/06 A2993  1070 86 600 280/03 RMK AO2 TSNO
94908KDBQ DBQ20050527042510405/27/05 04:25:31  5-MIN KDBQ 271025Z AUTO 29003KT 10SM CLR 08/06 A2993  1070 86 600 290/03 RMK AO2 TSNO
94908KDBQ DBQ20050527043010405/27/05 04:30:31  5-MIN KDBQ 271030Z AUTO 00000KT 10SM CLR 09/06 A2993  1070 83 600 000/00 RMK AO2 TSNO
94908KDBQ DBQ20050527043510405/27/05 04:35:31  5-MIN KDBQ 271035Z AUTO 29003KT 10SM CLR 09/06 A2993  1070 83 600 290/03 RMK AO2 TSNO
94908KDBQ DBQ20050527044010405/27/05 04:40:31  5-MIN KDBQ 271040Z AUTO 00000KT 10SM CLR 09/06 A2993  1070 83 600 000/00 RMK AO2 TSNO
94908KDBQ DBQ20050527044510405/27/05 04:45:31  5-MIN KDBQ 271045Z AUTO 28003KT 10SM CLR 09/06 A2994  1060 83 600 280/03 RMK AO2 TSNO
94908KDBQ DBQ20050527045012105/27/05 04:50:31  5-MIN KDBQ 271050Z AUTO 00000KT 10SM CLR 09/06 A2993  1070 83 600 000/00 RMK AO2 SLP137 T00890061 TSNO
94908KDBQ DBQ20050527045511005/27/05 04:55:31  5-MIN KDBQ 271055Z 27003KT 10SM CLR 08/06 A2993 1060 86 600 270/03 RMK AO2 SLP137 T00830061
94908KDBQ DBQ20050527050009305/27/05 05:00:31  5-MIN KDBQ 271100Z 28003KT 10SM CLR 08/06 A2994 1060 86 600 280/03 RMK AO2
94908KDBQ DBQ20050527050509305/27/05 05:05:31  5-MIN KDBQ 271105Z 28003KT 10SM CLR 09/06 A2994 1060 83 600 280/03 RMK AO2
94908KDBQ DBQ20050527051009305/27/05 05:10:31  5-MIN KDBQ 271110Z 26003KT 10SM CLR 08/06 A2994 1060 86 600 260/03 RMK AO2
94908KDBQ DBQ20050527051509305/27/05 05:15:31  5-MIN KDBQ 271115Z 00000KT 10SM CLR 08/06 A2994 1060 89 500 000/00 RMK AO2
94908KDBQ DBQ20050527052009305/27/05 05:20:31  5-MIN KDBQ 271120Z 21003KT 10SM CLR 08/06 A2994 1060 89 500 210/03 RMK AO2
94908KDBQ DBQ20050527052509305/27/05 05:25:31  5-MIN KDBQ 271125Z 00000KT 10SM CLR 08/07 A2994 1060 89 600 000/00 RMK AO2
94908KDBQ DBQ20050527053009305/27/05 05:30:31  5-MIN KDBQ 271130Z VRB03KT 10SM CLR 08/07 A2994 1060 89 600 VRB/03 RMK AO2
94908KDBQ DBQ20050527053509305/27/05 05:35:31  5-MIN KDBQ 271135Z 26007KT 10SM CLR 09/07 A2994 1060 89 600 260/07 RMK AO2
94908KDBQ DBQ20050527054009605/27/05 05:40:31  5-MIN KDBQ 271140Z 27007KT 10SM FEW065 09/07 A2994 1060 86 700 270/07 RMK AO2
94908KDBQ DBQ20050527054509605/27/05 05:45:31  5-MIN KDBQ 271145Z 27008KT 10SM FEW065 09/07 A2994 1060 86 700 270/08 RMK AO2
94908KDBQ DBQ20050527055013105/27/05 05:50:31  5-MIN KDBQ 271150Z 28008KT 10SM FEW065 09/07 A2994 1060 86 700 270/08 RMK AO2 SLP140 T00940072 10128 20078 53006
94908KDBQ DBQ20050527055513105/27/05 05:55:31  5-MIN KDBQ 271155Z 28008KT 10SM FEW065 09/07 A2993 1060 86 700 280/08 RMK AO2 SLP139 T00940072 10128 20078 51010
94908KDBQ DBQ20050527060009605/27/05 06:00:31  5-MIN KDBQ 271200Z 27008KT 10SM FEW065 10/07 A2994 1060 83 800 270/08 RMK AO2
94908KDBQ DBQ20050529115016905/29/05 11:50:31  5-MIN KDBQ 291750Z 16011KT 10SM FEW050 BKN070 OVC085  13/11 A2997 1030 83 1100 160/11 RMK AO2 RAB19E30 SLP151 P0000 60003  T01330106 10139 20100 51012
94908KDBQ DBQ20050529115516905/29/05 11:55:31  5-MIN KDBQ 291755Z 18009KT 10SM FEW050 BKN070 OVC085  13/11 A2997 1030 83 1100 170/09 RMK AO2 RAB19E30 SLP151 P0000 60003  T01330106 10139 20100 58001
94908KDBQ DBQ20050529120010505/29/05 12:00:31  5-MIN KDBQ 291800Z 17012KT 10SM BKN065 OVC080 14/11  A2997 1030 80 1200 170/12 RMK AO2
94908KDBQ DBQ20050529120510505/29/05 12:05:31  5-MIN KDBQ 291805Z 17010KT 10SM BKN065 OVC080 13/11  A2998 1030 86 1100 170/10 RMK AO2
94908KDBQ DBQ20050529121009705/29/05 12:10:31  5-MIN KDBQ 291810Z 17010KT 10SM OVC065 13/11 A2998 1020 86 1100 170/10 RMK AO2
94908KDBQ DBQ20050529121509705/29/05 12:15:31  5-MIN KDBQ 291815Z 17009KT 10SM OVC060 13/11 A2998 1020 83 1100 170/09 RMK AO2
94908KDBQ DBQ20050529122009705/29/05 12:20:31  5-MIN KDBQ 291820Z 17010KT 10SM OVC060 14/11 A2998 1030 80 1200 170/10 RMK AO2
94908KDBQ DBQ20050529122509705/29/05 12:25:31  5-MIN KDBQ 291825Z 17010KT 10SM OVC060 14/11 A2998 1030 80 1200 170/10 RMK AO2
94908KDBQ DBQ20050529123009705/29/05 12:30:31  5-MIN KDBQ 291830Z 17011KT 10SM OVC060 14/10 A2998 1030 77 1200 170/11 RMK AO2
94908KDBQ DBQ20050529123509705/29/05 12:35:31  5-MIN KDBQ 291835Z 18010KT 10SM OVC055 14/10 A2997 1030 77 1200 170/10 RMK AO2
94908KDBQ DBQ20050529124010505/29/05 12:40:31  5-MIN KDBQ 291840Z 17010KT 10SM BKN050 OVC060 14/11  A2998 1030 80 1200 170/10 RMK AO2
94908KDBQ DBQ20050529124510505/29/05 12:45:31  5-MIN KDBQ 291845Z 18010KT 10SM BKN050 OVC060 14/11  A2998 1030 80 1200 180/10 RMK AO2
94908KDBQ DBQ20050529125011405/29/05 12:50:31  5-MIN KDBQ 291850Z 18011KT 10SM OVC050 14/10 A2998 1030 77 1200 170/11 RMK AO2 SLP153 T01390100
94908KDBQ DBQ20050529125511405/29/05 12:55:31  5-MIN KDBQ 291855Z 19008KT 10SM OVC050 14/11 A2998 1030 80 1200 190/08 RMK AO2 SLP153 T01390106
94908KDBQ DBQ20050529130009705/29/05 13:00:31  5-MIN KDBQ 291900Z 18009KT 10SM OVC048 14/11 A2997 1030 80 1200 180/09 RMK AO2
94908KDBQ DBQ20050529130509705/29/05 13:05:31  5-MIN KDBQ 291905Z 18007KT 10SM OVC048 14/10 A2997 1030 77 1200 180/07 RMK AO2
94908KDBQ DBQ20050529131009705/29/05 13:10:31  5-MIN KDBQ 291910Z 18006KT 10SM OVC048 14/10 A2997 1030 77 1200 180/06 RMK AO2
94908KDBQ DBQ20050529131509705/29/05 13:15:31  5-MIN KDBQ 291915Z 17007KT 10SM OVC048 14/11 A2997 1040 77 1300 170/07 RMK AO2
94908KDBQ DBQ20050529132009705/29/05 13:20:31  5-MIN KDBQ 291920Z 17008KT 10SM OVC048 14/11 A2996 1040 77 1300 170/08 RMK AO2
94908KDBQ DBQ20050529132510505/29/05 13:25:31  5-MIN KDBQ 291925Z 18007KT 10SM BKN048 BKN060 15/11  A2996 1040 74 1300 170/07 RMK AO2
94908KDBQ DBQ20050529133010505/29/05 13:30:31  5-MIN KDBQ 291930Z 18008KT 10SM BKN048 BKN060 15/11  A2995 1050 74 1300 180/08 RMK AO2
94908KDBQ DBQ20050529133509705/29/05 13:35:31  5-MIN KDBQ 291935Z 19007KT 10SM SCT048 15/10 A2995 1050 72 1300 190/07 RMK AO2
94908KDBQ DBQ20050529134009705/29/05 13:40:31  5-MIN KDBQ 291940Z 16007KT 10SM FEW048 16/11 A2995 1050 72 1400 160/07 RMK AO2
94908KDBQ DBQ20050529134509705/29/05 13:45:31  5-MIN KDBQ 291945Z 17008KT 10SM FEW050 16/11 A2995 1050 74 1400 170/08 RMK AO2
94908KDBQ DBQ20050529135011105/29/05 13:50:31  5-MIN KDBQ 291950Z 15010KT 10SM CLR 16/11 A2995 1050 72 1400 150/10 RMK AO2 SLP143 T01560106
94908KDBQ DBQ20050529135511105/29/05 13:55:31  5-MIN KDBQ 291955Z 16010KT 10SM CLR 16/10 A2994 1060 69 1400 160/10 RMK AO2 SLP142 T01560100
94908KDBQ DBQ20050529140009405/29/05 14:00:31  5-MIN KDBQ 292000Z 17012KT 10SM CLR 16/11 A2994 1060 72 1400 170/12 RMK AO2
94908KDBQ DBQ20050529140509405/29/05 14:05:31  5-MIN KDBQ 292005Z 17012KT 10SM CLR 16/10 A2995 1060 69 1400 170/12 RMK AO2
94908KDBQ DBQ20050529141009405/29/05 14:10:31  5-MIN KDBQ 292010Z 18010KT 10SM CLR 16/10 A2995 1050 69 1400 180/10 RMK AO2
94908KDBQ DBQ20050529141509405/29/05 14:15:31  5-MIN KDBQ 292015Z 19011KT 10SM CLR 16/11 A2995 1050 72 1400 190/11 RMK AO2
94908KDBQ DBQ20050529142009405/29/05 14:20:31  5-MIN KDBQ 292020Z 19010KT 10SM CLR 16/11 A2995 1060 72 1400 180/10 RMK AO2
94908KDBQ DBQ20050529142509405/29/05 14:25:31  5-MIN KDBQ 292025Z 17010KT 10SM CLR 16/11 A2994 1060 72 1400 170/10 RMK AO2
94908KDBQ DBQ20050529143009405/29/05 14:30:31  5-MIN KDBQ 292030Z 18010KT 10SM CLR 16/11 A2994 1060 72 1400 180/10 RMK AO2
94908KDBQ DBQ20050529143509405/29/05 14:35:31  5-MIN KDBQ 292035Z 19009KT 10SM CLR 16/11 A2994 1060 72 1400 190/09 RMK AO2
94908KDBQ DBQ20050529144009405/29/05 14:40:31  5-MIN KDBQ 292040Z 19008KT 10SM CLR 16/11 A2994 1060 72 1500 190/08 RMK AO2
94908KDBQ DBQ20050529144509405/29/05 14:45:31  5-MIN KDBQ 292045Z 19008KT 10SM CLR 17/11 A2994 1060 69 1500 180/08 RMK AO2
94908KDBQ DBQ20050529145011705/29/05 14:50:31  5-MIN KDBQ 292050Z VRB06KT 10SM CLR 16/11 A2994 1060 69 1500 VRB/06 RMK AO2 SLP141 T01610106 58001
94908KDBQ DBQ20050529145511705/29/05 14:55:31  5-MIN KDBQ 292055Z 21008KT 10SM CLR 16/11 A2994 1060 69 1500 210/08 RMK AO2 SLP141 T01610106 58010
94908KDBQ DBQ20050529150009405/29/05 15:00:31  5-MIN KDBQ 292100Z 20007KT 10SM CLR 16/11 A2994 1060 72 1500 200/07 RMK AO2
94908KDBQ DBQ20050529150509405/29/05 15:05:31  5-MIN KDBQ 292105Z 20009KT 10SM CLR 16/11 A2993 1070 72 1500 200/09 RMK AO2
94908KDBQ DBQ20050529151009405/29/05 15:10:31  5-MIN KDBQ 292110Z 21009KT 10SM CLR 16/11 A2993 1060 72 1500 210/09 RMK AO2
94908KDBQ DBQ20050529151509405/29/05 15:15:31  5-MIN KDBQ 292115Z 22009KT 10SM CLR 17/11 A2993 1070 69 1500 220/09 RMK AO2
94908KDBQ DBQ20050529152009405/29/05 15:20:31  5-MIN KDBQ 292120Z 22010KT 10SM CLR 17/12 A2993 1070 72 1500 220/10 RMK AO2
94908KDBQ DBQ20050529152509405/29/05 15:25:31  5-MIN KDBQ 292125Z 22008KT 10SM CLR 17/12 A2993 1070 72 1600 220/08 RMK AO2
94908KDBQ DBQ20050529153009405/29/05 15:30:31  5-MIN KDBQ 292130Z 21008KT 10SM CLR 17/12 A2993 1070 72 1600 210/08 RMK AO2
94908KDBQ DBQ20050529153509405/29/05 15:35:31  5-MIN KDBQ 292135Z 22010KT 10SM CLR 17/12 A2993 1070 72 1600 220/10 RMK AO2
94908KDBQ DBQ20050529154009405/29/05 15:40:31  5-MIN KDBQ 292140Z 22008KT 10SM CLR 17/12 A2993 1070 72 1600 220/08 RMK AO2
